"Reactome.Pathway.Term","Adjusted.P.Value","Size","Leading.Edge"
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","5.094e-05","52","B2m, C3, Cd1d1, Cd22, Cd247, Cd33, Cd3e, Cd3g, Cd40, Col1a1, Col1a2, Col3a1, Fcgr2b, Fcgr4, H2-K1, H2-M2, H2-M3, H2-Q6, H2-Q7, Icam1, Ifitm2, Itga4, Itgal, Itgb1, Itgb2, Itgb7, Jaml, Klrk1, Lair1, Pvr, Sftpd, Siglece, Siglecg, Slamf7, Trem2, Treml4"
"Class A/1 (Rhodopsin-like receptors)","1.711e-04","74","C3, C3ar1, Cck, Ccl11, Ccl17, Ccl20, Ccl21a, Ccr7, Cmklr1, Cnr2, Cxcr3, Cxcr4, Cxcr6, Cysltr1, Cysltr2, F2r, Ffar2, Fpr2, Gpr132, Gpr55, Gpr65, Gpr68, Htr7, Lpar5, Ltb4r1, Nmur1, Npff, P2ry1, P2ry10, Penk, Pf4, Ptger1, Ptgfr, S1pr4, Uts2, Xcl1"
"GPCR ligand binding","1.711e-04","97","Adgre5, C3, C3ar1, Cck, Ccl11, Ccl17, Ccl20, Ccl21a, Ccr7, Cmklr1, Cnr2, Cxcr3, Cxcr4, Cxcr6, Cysltr1, Cysltr2, F2r, Ffar2, Fpr2, Gnas, Gnb2, Gng10, Gng11, Gng2, Gpr132, Gpr55, Gpr65, Gpr68, Htr7, Lpar5, Ltb4r1, Nmur1, Npff, P2ry1, P2ry10, Penk, Pf4, Ptger1, Ptgfr, Ramp3, S1pr4, Uts2, Xcl1"
"Cell surface interactions at the vascular wall","2.292e-03","60","Cd244a, Cd48, Cd74, Cd84, Col1a1, Col1a2, Dok2, Fyn, Gas6, Grb2, Grb7, Inpp5d, Itga4, Itgal, Itgax, Itgb2, Itgb3, Jaml, Jchain, Pecam1, Pf4, Pik3ca, Plcg1, Ptpn6, Sos1, Spn, Tgfb1"
"Extracellular matrix organization","6.531e-03","120","Adam12, Adam19, Adam8, Adamts2, Adamts3, Bgn, Bmp1, Bmp4, Capn3, Col14a1, Col15a1, Col1a1, Col1a2, Col27a1, Col3a1, Col5a1, Col6a5, Ctsk, Ctss, Dcn, Efemp2, Fbn1, Icam1, Itga4, Itga8, Itgae, Itgal, Itgax, Itgb2, Itgb3, Itgb7, Loxl1, Ltbp4, Mfap4, Mmp13, Mmp2, Nid1, Nid2, P4ha1, Pecam1, Serpinh1, Sparc, Tgfb1, Tgfb2"
"Neutrophil degranulation","6.531e-03","363","Actr2, Adam8, Adgre5, Aga, Anpep, Ap2a2, Apaf1, Arhgap45, Arhgap9, Arsa, Arsb, Atp11a, Atp6v0c, B2m, B4galt1, Bst2, C3, C3ar1, Calm4, Cand1, Cct2, Cd33, Cd53, Cd68, Cdk13, Cnn2, Cotl1, Cpne3, Cr1l, Creg1, Cst3, Ctsb, Ctsd, Ctsh, Ctss, Cxcl2, Cyba, Cybb, Dnase1l1, Dock2, Dok3, Dpp7, Dynll1, Eef1a1, Enpp4, Fcgr2b, Fcgr4, Fgl2, Fgr, Fpr2, Gdi2, Glb1, Gm2a, Gpi1, Gstp1, H2-K1, H2-M2, H2-M3, H2-Q6, H2-Q7, Hgsnat, Hmox2, Hpse, Hsp90aa1, Hspa1a, Hspa8, Huwe1, Ifi205, Ifi211, Igf2r, Iqgap2, Ist1, Itgal, Itgax, Itgb2, Jup, Kcmf1, Kcnab2, Kpnb1, Krt1, Lair1, Lilra5, Lpcat1, Lyz2, Naprt, Nckap1l, Nfam1, Nfkb1, Nme2, Ormdl3, Padi2, Pafah1b2, Pecam1, Pgrmc1, Pirb, Plekho2, Pnp, Ppia, Prdx6, Psmd6, Ptpn6, Ptprc, Qpct, Rab27a, Rab37, Rab4b, Rab7, Rac1, Rap1a, Rap2b, Rhoa, Rhog, Serpinb6a, Siglece, Slc11a1, Slc15a4, Slc2a3, Slc44a2, Slpi, Snap23, Snap29, Stk10, Tbc1d10c, Tcirg1, Ticam2, Tlr2, Tmem179b, Tnfrsf1b, Tom1, Tubb4b, Tubb5, Tyrobp, Unc13d, Xrcc5"
"Hemostasis","1.556e-02","330","Actg1, Apbb1ip, Brpf3, Calm2, Cd244a, Cd48, Cd74, Cd84, Cdc42, Col1a1, Col1a2, Csk, Ctsw, Daglb, Dgke, Dock10, Dock2, Dock8, Dok2, Ecm1, F2r, Fam3c, Fermt3, Fgr, Flna, Fyn, Gas6, Gata3, Gna12, Gna15, Gnai2, Gnas, Gnb2, Gng10, Gng11, Gng2, Grb2, Grb7, Hdac1, Inpp5d, Itga4, Itgal, Itgax, Itgb2, Itgb3, Jak2, Jaml, Jchain, Kif3b, Kif9, Kifap3, Kifc5b, Klc3, Lat, Lcp2, Mapk3, P2ry1, Pde1b, Pde2a, Pdpk1, Pecam1, Pf4, Phf21a, Pik3ca, Pik3r5, Plcg1, Plek, Ppp2ca, Ppp2r5a, Prkaca, Prkacb, Prkar1a, Prkcb, Prkch, Ptpn6, Rac2, Rap1a, Rapgef4, Rbsn, Rhog, Selenop, Serpinb2, Serpinb6a, Sh2b3, Slc8a1, Sos1, Sparc, Spn, Srgn, Syk, Tgfb1, Tgfb2, Timp3, Tor4a, Trf, Tuba1c, Vav2, Vegfb, Vegfd, Ywhaz"
"Integrin cell surface interactions","1.556e-02","40","Col1a1, Col1a2, Col3a1, Col5a1, Col6a5, Fbn1, Icam1, Itga4, Itgae, Itgal, Itgax, Itgb2, Itgb3, Itgb7"
"CDC42 GTPase cycle","1.779e-02","77","Arap1, Arap3, Arhgap1, Arhgap20, Arhgap22, Arhgap24, Arhgap26, Arhgap30, Arhgap31, Arhgap33, Arhgap45, Arhgap9, Arhgdib, Arhgdig, Arhgef19, Arhgef25, Arhgef6, Def6, Dock10, Dock8, Fgd2, Plekhg2, Plekhg3, Prex1, Prex2, Srgap3, Vav2"
"Collagen formation","1.779e-02","36","Adamts2, Adamts3, Bmp1, Col14a1, Col15a1, Col1a1, Col1a2, Col27a1, Col3a1, Col5a1, Col6a5, Ctsb, Ctss, Loxl1, Mmp13, P4ha1, Serpinh1"
